NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MRGPRF	1	ENSMUSG00000031070	
WDR86	1	ENSMUSG00000055235	
WDR83	1	ENSMUSG00000005150	
MRGPRE	1	ENSMUSG00000048965	
WDR89	1	ENSMUSG00000045690	
WDR87	1	ENSMUSG00000074224	
CNST	1	ENSMUSG00000038949	
WDR93	1	ENSMUSG00000039099	
WDR90	1	ENSMUSG00000073434	
WDR91	1	ENSMUSG00000058486	
LUC7L	1	ENSMUSG00000024188	
WDR74	1	ENSMUSG00000042729	
WDR75	1	ENSMUSG00000025995	
WDR72	1	ENSMUSG00000044976	
WDR73	1	ENSMUSG00000025722	
HCFC2	1	ENSMUSG00000020246	
KNSTRN	1	ENSMUSG00000027331	
WDR76	1	ENSMUSG00000027242	
WDR77	1	ENSMUSG00000000561	
HCFC1	1	ENSMUSG00000031386	
WDR81	1	ENSMUSG00000045374	
WDR82	1	ENSMUSG00000020257	
PARD3	1	ENSMUSG00000025812	
PI4K2A	1	ENSMUSG00000025178	
BCL10	1	ENSMUSG00000028191	
WDR62	1	ENSMUSG00000037020	
XKRX	1	ENSMUSG00000031258	
BLOC1S4	1	ENSMUSG00000060708	
BLOC1S5	1	ENSMUSG00000038982	
BLOC1S6	1	ENSMUSG00000005804	
FAM124B	1	ENSMUSG00000043230	
FAM124A	1	ENSMUSG00000035184	
WDR70	1	ENSMUSG00000039828	
BLOC1S1	1	ENSMUSG00000090247	
BLOC1S2	1	ENSMUSG00000057506	
BLOC1S3	1	ENSMUSG00000057667	
HLA-DQA1	1	ENSMUSG00000036594	
LHPP	1	ENSMUSG00000030946	
NDFIP2	1	ENSMUSG00000053253	
NDFIP1	1	ENSMUSG00000024425	
WDR59	1	ENSMUSG00000031959	
WDR53	1	ENSMUSG00000022787	
WDR54	1	ENSMUSG00000030032	
WDR55	1	ENSMUSG00000042660	
XKR8	1	ENSMUSG00000037752	
XKR7	1	ENSMUSG00000042631	
XKR9	1	ENSMUSG00000067813	
ARL2BP	1	ENSMUSG00000031776	
MKS1	1	ENSMUSG00000034121	
WDR5B	1	ENSMUSG00000034379	
XKR4	1	ENSMUSG00000051951	
XKR6	1	ENSMUSG00000035067	
XKR5	1	ENSMUSG00000039814	
FANK1	1	ENSMUSG00000053111	
WDR47	1	ENSMUSG00000040389	
WDR48	1	ENSMUSG00000032512	
PHF20	1	ENSMUSG00000038116	
PHF23	1	ENSMUSG00000018572	
WDR41	1	ENSMUSG00000042015	
WDR45	1	ENSMUSG00000039382	
WDR46	1	ENSMUSG00000024312	
WDR43	1	ENSMUSG00000041057	
WDR44	1	ENSMUSG00000036769	
IFIH1	1	ENSMUSG00000026896	
UBL5	1	ENSMUSG00000084786	
UBL3	1	ENSMUSG00000001687	
PHF24	1	ENSMUSG00000036062	
RAB5IF	1	ENSMUSG00000027637	
UBL7	1	ENSMUSG00000055720	
WDR38	1	ENSMUSG00000035295	
HELLS	1	ENSMUSG00000025001	
WDR36	1	ENSMUSG00000038299	
WDR37	1	ENSMUSG00000021147	
AHSG	1	ENSMUSG00000022868	
WDR31	1	ENSMUSG00000028391	
WDR35	1	ENSMUSG00000066643	
WDR33	1	ENSMUSG00000024400	
KIFC2	1	ENSMUSG00000004187	
KIFC1	2	ENSMUSG00000079553:ENSMUSG00000024301	
KIFBP	1	ENSMUSG00000036955	
AHRR	1	ENSMUSG00000021575	
KIFC3	1	ENSMUSG00000031788	
HLA-DQB1	1	ENSMUSG00000073421	
WDR27	1	ENSMUSG00000046991	
WDR25	1	ENSMUSG00000040877	
WDR26	1	ENSMUSG00000038733	
AP5Z1	1	ENSMUSG00000039623	
WDR20	1	ENSMUSG00000037957	
WDR24	1	ENSMUSG00000025737	
PPP1R2	1	ENSMUSG00000047714	
RPS15A	1	ENSMUSG00000008683	
PPP1R7	1	ENSMUSG00000026275	
UBN2	1	ENSMUSG00000038538	
PPP1R8	1	ENSMUSG00000028882	
UBN1	1	ENSMUSG00000039473	
WDR17	1	ENSMUSG00000039375	
WHRN	1	ENSMUSG00000039137	
WDR18	1	ENSMUSG00000035754	
WDR19	1	ENSMUSG00000037890	
WDR12	1	ENSMUSG00000026019	
WDR13	1	ENSMUSG00000031166	
WDR11	1	ENSMUSG00000042055	
PHF5A	1	ENSMUSG00000061360	
CPSF4L	1	ENSMUSG00000018727	
N6AMT1	1	ENSMUSG00000044442	
MROH2A	1	ENSMUSG00000079429	
POGLUT2	1	ENSMUSG00000026047	
POGLUT1	1	ENSMUSG00000034064	
UBP1	1	ENSMUSG00000009741	
PARK7	1	ENSMUSG00000028964	
PPP1CB	1	ENSMUSG00000014956	
PPP1CC	1	ENSMUSG00000004455	
HMCES	1	ENSMUSG00000030060	
SLC26A11	1	ENSMUSG00000039908	
LARGE1	1	ENSMUSG00000004383	
POGLUT3	1	ENSMUSG00000034487	
LARGE2	1	ENSMUSG00000040434	
AP5S1	1	ENSMUSG00000068264	
IFNAR2	1	ENSMUSG00000022971	
THOC1	1	ENSMUSG00000024287	
TRAFD1	1	ENSMUSG00000042726	
THOC3	1	ENSMUSG00000025872	
THOC2	1	ENSMUSG00000037475	
THOC5	1	ENSMUSG00000034274	
THOC7	1	ENSMUSG00000053453	
THOC6	1	ENSMUSG00000041319	
MORF4L1	1	ENSMUSG00000062270	
MORF4L2	1	ENSMUSG00000031422	
MROH3P	1	ENSMUSG00000087230	
ADTRP	1	ENSMUSG00000058022	
IFNAR1	1	ENSMUSG00000022967	
C20orf96	1	ENSMUSG00000032680	
PARM1	1	ENSMUSG00000034981	
FAM149B1	1	ENSMUSG00000039599	
UBR4	1	ENSMUSG00000066036	
UBR3	1	ENSMUSG00000044308	
SLC38A10	1	ENSMUSG00000061306	
UBR2	1	ENSMUSG00000023977	
SLC38A11	1	ENSMUSG00000061171	
UBR1	1	ENSMUSG00000027272	
ORC5	1	ENSMUSG00000029012	
ORC4	1	ENSMUSG00000026761	
ORC6	1	ENSMUSG00000031697	
ORC1	1	ENSMUSG00000028587	
UBR7	1	ENSMUSG00000041712	
ORC3	1	ENSMUSG00000040044	
MROH4P	1	ENSMUSG00000022603	
ORC2	1	ENSMUSG00000026037	
UBR5	1	ENSMUSG00000037487	
MAP3K20	1	ENSMUSG00000004085	
MAP3K21	1	ENSMUSG00000031853	
DRD1	1	ENSMUSG00000021478	
DRD3	1	ENSMUSG00000022705	
DRD4	1	ENSMUSG00000025496	
OSBPL9	1	ENSMUSG00000028559	
FANCI	1	ENSMUSG00000039187	
COA4	1	ENSMUSG00000044881	
COA3	1	ENSMUSG00000017188	
OSBPL8	1	ENSMUSG00000020189	
UVRAG	1	ENSMUSG00000035354	
CHTOP	1	ENSMUSG00000001017	
OSBPL7	1	ENSMUSG00000038534	
OSBPL6	1	ENSMUSG00000042359	
OSBPL5	1	ENSMUSG00000037606	
FANCM	1	ENSMUSG00000055884	
FANCL	1	ENSMUSG00000004018	
OSBPL3	1	ENSMUSG00000029822	
IQCA1L	1	ENSMUSG00000038199	
OSBPL2	1	ENSMUSG00000039050	
FANCA	1	ENSMUSG00000032815	
FANCC	1	ENSMUSG00000021461	
FANCB	1	ENSMUSG00000047757	
FANCE	1	ENSMUSG00000007570	
FANCG	1	ENSMUSG00000028453	
FANCF	1	ENSMUSG00000092118	
MAP3K15	1	ENSMUSG00000031303	
LHX3	1	ENSMUSG00000026934	
LHX2	1	ENSMUSG00000000247	
LHX1	1	ENSMUSG00000018698	
MAP3K19	1	ENSMUSG00000051590	
LHX6	1	ENSMUSG00000026890	
MAP3K10	1	ENSMUSG00000040390	
LHX5	1	ENSMUSG00000029595	
THEM7P	1	ENSMUSG00000055312	
MAP3K13	1	ENSMUSG00000033618	
DRC1	1	ENSMUSG00000073102	
MAP3K14	1	ENSMUSG00000020941	
MAP3K11	1	ENSMUSG00000004054	
LAT	1	ENSMUSG00000030742	
DRC3	1	ENSMUSG00000056598	
BCL2L2	1	ENSMUSG00000089682	
BCL2L1	1	ENSMUSG00000007659	
MAP3K12	1	ENSMUSG00000023050	
LBH	1	ENSMUSG00000024063	
NOB1	1	ENSMUSG00000003848	
UBTF	1	ENSMUSG00000020923	
PHACTR3	1	ENSMUSG00000027525	
PHACTR2	1	ENSMUSG00000062866	
PHACTR1	1	ENSMUSG00000054728	
LBP	1	ENSMUSG00000016024	
COA8	1	ENSMUSG00000037787	
LBR	1	ENSMUSG00000004880	
COA7	1	ENSMUSG00000048351	
COA6	1	ENSMUSG00000051671	
COA5	1	ENSMUSG00000026112	
PHACTR4	1	ENSMUSG00000066043	
PLA2G12A	1	ENSMUSG00000027999	
PLA2G12B	1	ENSMUSG00000009646	
KRTAP5-8	1	ENSMUSG00000073786	
CKAP2L	1	ENSMUSG00000048327	
KRTAP5-5	1	ENSMUSG00000073785	
COBL	1	ENSMUSG00000020173	
PLRG1	1	ENSMUSG00000027998	
SMC1A	1	ENSMUSG00000041133	
C1QL3	1	ENSMUSG00000049630	
TIRAP	1	ENSMUSG00000032041	
SMC1B	1	ENSMUSG00000022432	
C1QL1	1	ENSMUSG00000045532	
DNAJC3	1	ENSMUSG00000022136	
DNAJC2	1	ENSMUSG00000029014	
DNAJC1	1	ENSMUSG00000026740	
DNAJC7	1	ENSMUSG00000014195	
MEP1B	1	ENSMUSG00000024313	
LCK	1	ENSMUSG00000000409	
MEP1A	1	ENSMUSG00000023914	
DNAJC6	1	ENSMUSG00000028528	
NOA1	1	ENSMUSG00000036285	
DNAJC5	1	ENSMUSG00000000826	
DNAJC4	1	ENSMUSG00000024963	
DNAJC9	1	ENSMUSG00000021811	
DNAJC8	1	ENSMUSG00000054405	
LCORL	1	ENSMUSG00000015882	
LCT	1	ENSMUSG00000026354	
NSRP1	1	ENSMUSG00000037958	
OASL2P	1	ENSMUSG00000029561	
NOD1	1	ENSMUSG00000038058	
NOD2	1	ENSMUSG00000055994	
COCH	1	ENSMUSG00000020953	
DNAJB2	1	ENSMUSG00000026203	
DNAJB1	1	ENSMUSG00000005483	
DNAJB6	1	ENSMUSG00000029131	
DNAJB5	1	ENSMUSG00000036052	
NOCT	1	ENSMUSG00000023087	
DNAJB4	1	ENSMUSG00000028035	
DNAJB3	1	ENSMUSG00000081984	
DNAJB9	1	ENSMUSG00000014905	
DNAJB7	1	ENSMUSG00000047108	
DRGX	1	ENSMUSG00000041730	
MACC1	1	ENSMUSG00000041886	
RPRD2	1	ENSMUSG00000028106	
DNAJA1	1	ENSMUSG00000028410	
BCKDK	1	ENSMUSG00000030802	
DNAJA4	1	ENSMUSG00000032285	
DNAJA3	1	ENSMUSG00000004069	
LEP	1	ENSMUSG00000059201	
DNAJA2	1	ENSMUSG00000031701	
DRG1	1	ENSMUSG00000020457	
DRG2	1	ENSMUSG00000020537	
IFITM3	1	ENSMUSG00000025492	
VEZT	1	ENSMUSG00000036099	
IFITM1	1	ENSMUSG00000025491	
IFITM2	1	ENSMUSG00000060591	
PARS2	1	ENSMUSG00000043572	
MLC1	1	ENSMUSG00000035805	
HS6ST1	1	ENSMUSG00000045216	
HS6ST2	1	ENSMUSG00000062184	
IFIT3	2	ENSMUSG00000074896:ENSMUSG00000062488	
IFIT2	1	ENSMUSG00000045932	
RPS15	1	ENSMUSG00000063457	
RPS14	1	ENSMUSG00000024608	
RPS17	1	ENSMUSG00000061787	
RPS16	1	ENSMUSG00000037563	
RPS19	1	ENSMUSG00000040952	
RPS18	1	ENSMUSG00000008668	
HMCN2	1	ENSMUSG00000055632	
HMCN1	1	ENSMUSG00000066842	
RPS11	1	ENSMUSG00000003429	
RPS10	1	ENSMUSG00000052146	
IFITM5	1	ENSMUSG00000025489	
RPS13	1	ENSMUSG00000090862	
RPS12	1	ENSMUSG00000061983	
SRRM2	1	ENSMUSG00000039218	
ARRDC4	1	ENSMUSG00000042659	
SRRM3	1	ENSMUSG00000039860	
ARRDC5	1	ENSMUSG00000073380	
COG8	1	ENSMUSG00000031916	
COG7	1	ENSMUSG00000034951	
COG6	1	ENSMUSG00000027742	
ARRDC1	1	ENSMUSG00000026972	
COG5	1	ENSMUSG00000035933	
ARRDC2	1	ENSMUSG00000002910	
COG4	1	ENSMUSG00000031753	
COG3	1	ENSMUSG00000034893	
ARRDC3	1	ENSMUSG00000074794	
COG2	1	ENSMUSG00000031979	
P3H2	1	ENSMUSG00000038168	
HLA-B	2	ENSMUSG00000073411:ENSMUSG00000079507	
COG1	1	ENSMUSG00000018661	
P3H1	1	ENSMUSG00000028641	
P3H4	1	ENSMUSG00000006931	
YOD1	1	ENSMUSG00000046404	
P3H3	1	ENSMUSG00000023191	
HLA-A	4	ENSMUSG00000067235:ENSMUSG00000061232:ENSMUSG00000073403:ENSMUSG00000091705	
HLA-F	1	ENSMUSG00000079492	
CRNKL1	1	ENSMUSG00000001767	
HLA-G	1	ENSMUSG00000016206	
SRRM1	1	ENSMUSG00000028809	
HLA-E	2	ENSMUSG00000067212:ENSMUSG00000073405	
NEIL3	1	ENSMUSG00000039396	
NEIL2	1	ENSMUSG00000035121	
MTHFD2L	1	ENSMUSG00000029376	
RUBCNL	1	ENSMUSG00000034959	
NEIL1	1	ENSMUSG00000032298	
MACF1	1	ENSMUSG00000028649	
CSTF3	1	ENSMUSG00000027176	
CSTF2	1	ENSMUSG00000031256	
LIAS	1	ENSMUSG00000029199	
APCDD1	1	ENSMUSG00000071847	
CBARP	1	ENSMUSG00000035640	
HELZ2	1	ENSMUSG00000027580	
FXR1	1	ENSMUSG00000027680	
SCFD1	1	ENSMUSG00000020952	
FXR2	1	ENSMUSG00000018765	
AP5M1	1	ENSMUSG00000036291	
CHTF8	1	ENSMUSG00000046691	
PRAMEF12	1	ENSMUSG00000028591	
SCFD2	1	ENSMUSG00000062110	
CSTF1	1	ENSMUSG00000027498	
MLEC	1	ENSMUSG00000048578	
TMEM74B	1	ENSMUSG00000044364	
LIF	1	ENSMUSG00000034394	
PARVA	1	ENSMUSG00000030770	
PARVB	1	ENSMUSG00000022438	
PUM1	1	ENSMUSG00000028580	
TRERF1	1	ENSMUSG00000064043	
PUM3	1	ENSMUSG00000041360	
PUM2	1	ENSMUSG00000020594	
RPS26	1	ENSMUSG00000025362	
RPS25	1	ENSMUSG00000009927	
RPS28	1	ENSMUSG00000067288	
RPS27	2	ENSMUSG00000090733:ENSMUSG00000050621	
PARVG	1	ENSMUSG00000022439	
RPS29	1	ENSMUSG00000034892	
RPS20	1	ENSMUSG00000028234	
RPS21	1	ENSMUSG00000039001	
RPS24	1	ENSMUSG00000025290	
RPS23	1	ENSMUSG00000049517	
AHCTF1	1	ENSMUSG00000026491	
UBXN1	1	ENSMUSG00000071655	
MEOX1	1	ENSMUSG00000001493	
ORM2	3	ENSMUSG00000039196:ENSMUSG00000028359:ENSMUSG00000061540	
COIL	1	ENSMUSG00000033983	
C1QBP	1	ENSMUSG00000018446	
UBXN8	1	ENSMUSG00000052906	
UBXN7	1	ENSMUSG00000053774	
UBXN4	1	ENSMUSG00000026353	
FEZF1	1	ENSMUSG00000029697	
UBXN6	1	ENSMUSG00000019578	
LRRCC1	1	ENSMUSG00000027550	
PARP6	1	ENSMUSG00000025237	
PARP3	1	ENSMUSG00000023249	
PARP4	1	ENSMUSG00000054509	
PARP1	1	ENSMUSG00000026496	
PARP2	1	ENSMUSG00000036023	
GP1BB	1	ENSMUSG00000050761	
STRADA	1	ENSMUSG00000069631	
STRADB	1	ENSMUSG00000026027	
ZDHHC12	1	ENSMUSG00000015335	
ZDHHC13	1	ENSMUSG00000030471	
GP1BA	1	ENSMUSG00000050675	
PARP9	1	ENSMUSG00000022906	
ZDHHC16	1	ENSMUSG00000025157	
ZDHHC17	1	ENSMUSG00000035798	
ZDHHC14	1	ENSMUSG00000034265	
MLF1	1	ENSMUSG00000048416	
PARP8	1	ENSMUSG00000021725	
MLF2	1	ENSMUSG00000030120	
ZDHHC15	1	ENSMUSG00000033906	
AIDA	1	ENSMUSG00000042901	
FYTTD1	1	ENSMUSG00000022800	
MACIR	1	ENSMUSG00000044768	
SLC66A3	1	ENSMUSG00000045679	
AMIGO3	1	ENSMUSG00000032593	
SLC66A2	1	ENSMUSG00000034006	
ZDHHC20	1	ENSMUSG00000021969	
SLC66A1	1	ENSMUSG00000028744	
ICA1L	1	ENSMUSG00000026018	
AMIGO1	1	ENSMUSG00000050947	
AMIGO2	1	ENSMUSG00000048218	
ZDHHC23	1	ENSMUSG00000036304	
GDPD1	1	ENSMUSG00000061666	
NOL7	1	ENSMUSG00000063200	
ZDHHC24	1	ENSMUSG00000006463	
GDPD2	1	ENSMUSG00000019359	
NOL8	1	ENSMUSG00000021392	
ZDHHC21	1	ENSMUSG00000028403	
NOL9	1	ENSMUSG00000028948	
GDPD3	1	ENSMUSG00000030703	
ZDHHC22	1	ENSMUSG00000048483	
NOL3	1	ENSMUSG00000014776	
GDPD5	1	ENSMUSG00000035314	
AIF1	1	ENSMUSG00000024397	
NOL4	1	ENSMUSG00000041923	
NOL6	1	ENSMUSG00000028430	
DRP2	1	ENSMUSG00000000223	
PPP2CA	1	ENSMUSG00000020349	
PPP2CB	1	ENSMUSG00000009630	
PURA	1	ENSMUSG00000043991	
ZDHHC18	1	ENSMUSG00000037553	
EGFLAM	1	ENSMUSG00000042961	
ZDHHC19	1	ENSMUSG00000052363	
MTHFD1L	1	ENSMUSG00000040675	
WIF1	1	ENSMUSG00000020218	
KISS1R	1	ENSMUSG00000035773	
RPRML	1	ENSMUSG00000046215	
LAIR1	1	ENSMUSG00000055541	
PURG	1	ENSMUSG00000049184	
OTOP1	1	ENSMUSG00000051596	
AIG1	1	ENSMUSG00000019806	
MLH1	1	ENSMUSG00000032498	
OTOP3	1	ENSMUSG00000018862	
MLH3	1	ENSMUSG00000021245	
COLQ	1	ENSMUSG00000057606	
ATAT1	1	ENSMUSG00000024426	
CD40LG	1	ENSMUSG00000031132	
NDUFA13	1	ENSMUSG00000036199	
NDUFA11	2	ENSMUSG00000068487:ENSMUSG00000002379	
NDUFA12	1	ENSMUSG00000020022	
TAMM41	1	ENSMUSG00000030316	
NDUFA10	1	ENSMUSG00000026260	
ARHGDIG	1	ENSMUSG00000073433	
COMT	1	ENSMUSG00000000326	
CNDP1	1	ENSMUSG00000056162	
CNDP2	1	ENSMUSG00000024644	
COMP	1	ENSMUSG00000031849	
DOCK10	1	ENSMUSG00000038608	
DOCK11	1	ENSMUSG00000031093	
MATCAP1	1	ENSMUSG00000014837	
ARHGDIA	1	ENSMUSG00000025132	
ARHGDIB	1	ENSMUSG00000030220	
NOM1	1	ENSMUSG00000001569	
MLIP	1	ENSMUSG00000032355	
LIG1	1	ENSMUSG00000056394	
PUS1	1	ENSMUSG00000029507	
LIG4	1	ENSMUSG00000049717	
LIG3	1	ENSMUSG00000020697	
ATP1B3	1	ENSMUSG00000032412	
LIFR	1	ENSMUSG00000054263	
ATP1B2	1	ENSMUSG00000041329	
ATP1B1	1	ENSMUSG00000026576	
AP5B1	1	ENSMUSG00000049562	
PUS7	1	ENSMUSG00000057541	
LOX	1	ENSMUSG00000024529	
CERCAM	1	ENSMUSG00000039787	
JCAD	1	ENSMUSG00000033960	
COPA	1	ENSMUSG00000026553	
NOP2	1	ENSMUSG00000038279	
LPL	1	ENSMUSG00000015568	
LPO	1	ENSMUSG00000009356	
LPP	1	ENSMUSG00000033306	
NOP9	1	ENSMUSG00000019297	
COP1	1	ENSMUSG00000040782	
CDH20	1	ENSMUSG00000050840	
CDH22	1	ENSMUSG00000053166	
CDH23	1	ENSMUSG00000012819	
CDH24	1	ENSMUSG00000059674	
CDH26	1	ENSMUSG00000039155	
MLKL	1	ENSMUSG00000012519	
UQCC3	1	ENSMUSG00000071654	
UQCC2	1	ENSMUSG00000024208	
UQCC1	1	ENSMUSG00000005882	
NONO	1	ENSMUSG00000031311	
MACO1	1	ENSMUSG00000028826	
COQ9	1	ENSMUSG00000031782	
COQ7	1	ENSMUSG00000030652	
COQ6	1	ENSMUSG00000021235	
COQ5	1	ENSMUSG00000041733	
COQ4	1	ENSMUSG00000026798	
COQ3	1	ENSMUSG00000028247	
COQ2	1	ENSMUSG00000029319	
BLMH	1	ENSMUSG00000020840	
BRWD1	1	ENSMUSG00000022914	
ZSCAN2	1	ENSMUSG00000038797	
COPE	1	ENSMUSG00000055681	
BRWD3	1	ENSMUSG00000063663	
GPSM1	1	ENSMUSG00000026930	
GPSM2	1	ENSMUSG00000027883	
ASNSD1	1	ENSMUSG00000026095	
SLC40A1	1	ENSMUSG00000025993	
CMAHP	1	ENSMUSG00000016756	
MFSD8	1	ENSMUSG00000025759	
RPS4X	1	ENSMUSG00000031320	
FHAD1	1	ENSMUSG00000051435	
MFSD9	1	ENSMUSG00000041945	
MFSD6	1	ENSMUSG00000041439	
MFSD5	1	ENSMUSG00000045665	
MFSD3	1	ENSMUSG00000019080	
BLNK	1	ENSMUSG00000061132	
MFSD1	1	ENSMUSG00000027775	
NOS1	1	ENSMUSG00000029361	
TOPBP1	1	ENSMUSG00000032555	
GPSM3	1	ENSMUSG00000034786	
MAPK1IP1L	1	ENSMUSG00000021840	
GRIFIN	1	ENSMUSG00000036586	
HGSNAT	1	ENSMUSG00000037260	
LSR	1	ENSMUSG00000001247	
RPS3A	1	ENSMUSG00000028081	
LSS	1	ENSMUSG00000033105	
FCHSD1	1	ENSMUSG00000038524	
CORT	1	ENSMUSG00000028971	
FCHSD2	1	ENSMUSG00000030691	
AIM2	1	ENSMUSG00000037860	
DDAH1	1	ENSMUSG00000028194	
DDAH2	1	ENSMUSG00000007039	
COL6A2	1	ENSMUSG00000020241	
COL6A1	1	ENSMUSG00000001119	
AKT1S1	1	ENSMUSG00000011096	
ZPBP2	1	ENSMUSG00000017195	
CDH11	1	ENSMUSG00000031673	
LTA	1	ENSMUSG00000024402	
CDH12	1	ENSMUSG00000040452	
CDH13	1	ENSMUSG00000031841	
TERF2IP	1	ENSMUSG00000033430	
COL6A3	1	ENSMUSG00000048126	
COL6A6	1	ENSMUSG00000043719	
AKNAD1	1	ENSMUSG00000049565	
LTB	1	ENSMUSG00000024399	
COL6A5	1	ENSMUSG00000091345	
CDH16	1	ENSMUSG00000031881	
THOP1	1	ENSMUSG00000004929	
CDH17	1	ENSMUSG00000028217	
CDH18	1	ENSMUSG00000040420	
LTF	1	ENSMUSG00000032496	
HEMGN	1	ENSMUSG00000028332	
LTK	1	ENSMUSG00000027297	
ATP1A4	1	ENSMUSG00000007107	
ATP1A3	1	ENSMUSG00000040907	
ATP1A2	1	ENSMUSG00000007097	
ATP1A1	1	ENSMUSG00000033161	
LIN9	1	ENSMUSG00000058729	
CHSY1	1	ENSMUSG00000032640	
FAM120C	1	ENSMUSG00000025262	
LPCAT2BP	1	ENSMUSG00000033794	
FAM120B	1	ENSMUSG00000014763	
FAM120A	1	ENSMUSG00000038014	
CHSY3	1	ENSMUSG00000058152	
OPCML	1	ENSMUSG00000062257	
NOS2	1	ENSMUSG00000020826	
NOS3	1	ENSMUSG00000028978	
LUM	1	ENSMUSG00000036446	
MLPH	1	ENSMUSG00000026303	
KANSL1	1	ENSMUSG00000018412	
SLFNL1	1	ENSMUSG00000047518	
KANSL2	1	ENSMUSG00000022992	
PITHD1	1	ENSMUSG00000028669	
KANSL3	1	ENSMUSG00000010453	
PAXBP1	1	ENSMUSG00000022974	
USP6NL	1	ENSMUSG00000039046	
LIPA	1	ENSMUSG00000024781	
TSEN54	1	ENSMUSG00000020781	
ZDBF2	1	ENSMUSG00000027520	
PREX2	1	ENSMUSG00000048960	
ATP5IF1	1	ENSMUSG00000054428	
LIPE	1	ENSMUSG00000003123	
PREX1	1	ENSMUSG00000039621	
SAMD14	1	ENSMUSG00000047181	
LIPC	1	ENSMUSG00000032207	
SAMD15	1	ENSMUSG00000090812	
MPRIP	1	ENSMUSG00000005417	
LIPH	1	ENSMUSG00000044626	
LIPG	1	ENSMUSG00000053846	
LIPN	1	ENSMUSG00000024770	
NKX1-2	1	ENSMUSG00000048528	
LIPM	1	ENSMUSG00000056078	
LIPK	1	ENSMUSG00000024771	
SAMD12	1	ENSMUSG00000058656	
SAMD13	1	ENSMUSG00000048652	
SAMD10	1	ENSMUSG00000038605	
STARD3	1	ENSMUSG00000018167	
GABARAPL2	1	ENSMUSG00000031950	
STARD4	1	ENSMUSG00000024378	
GABARAPL1	1	ENSMUSG00000030161	
STARD5	1	ENSMUSG00000046027	
CSNK2A1	1	ENSMUSG00000074698	
STARD6	1	ENSMUSG00000079608	
STARD7	1	ENSMUSG00000027367	
STARD8	1	ENSMUSG00000031216	
CFAP92	1	ENSMUSG00000089997	
CFAP91	1	ENSMUSG00000022805	
STARD9	1	ENSMUSG00000033705	
CSNK2A2	1	ENSMUSG00000046707	
DNTTIP1	1	ENSMUSG00000017299	
DNTTIP2	1	ENSMUSG00000039756	
CLNS1A	1	ENSMUSG00000025439	
AKIP1	1	ENSMUSG00000031023	
CDIP1	1	ENSMUSG00000004071	
CFAP97	1	ENSMUSG00000031631	
CFAP61	1	ENSMUSG00000037143	
HACD1	1	ENSMUSG00000063275	
PARPBP	1	ENSMUSG00000035365	
LXN	1	ENSMUSG00000047557	
HS3ST3A1	1	ENSMUSG00000047759	
RETSAT	1	ENSMUSG00000056666	
AIRE	1	ENSMUSG00000000731	
HACD3	1	ENSMUSG00000033629	
LY9	1	ENSMUSG00000004707	
HACD2	1	ENSMUSG00000035376	
HACD4	1	ENSMUSG00000028497	
FAM221B	1	ENSMUSG00000043633	
FAM221A	1	ENSMUSG00000047115	
GUCD1	1	ENSMUSG00000033416	
KLRK1	1	ENSMUSG00000030149	
VTI1A	1	ENSMUSG00000024983	
CFAP69	1	ENSMUSG00000040473	
CFAP65	1	ENSMUSG00000047021	
PPARGC1A	1	ENSMUSG00000029167	
PPARGC1B	1	ENSMUSG00000033871	
VTI1B	1	ENSMUSG00000021124	
LYN	1	ENSMUSG00000042228	
CFAP74	1	ENSMUSG00000078490	
FYB2	1	ENSMUSG00000078612	
FYB1	1	ENSMUSG00000022148	
HACE1	1	ENSMUSG00000038822	
CFAP70	1	ENSMUSG00000039543	
INCA1	1	ENSMUSG00000057054	
BBIP1	1	ENSMUSG00000084957	
LYZ	2	ENSMUSG00000069515:ENSMUSG00000069516	
NR0B2	1	ENSMUSG00000037583	
FAM220A	1	ENSMUSG00000083012	
UCK2	1	ENSMUSG00000026558	
UCK1	1	ENSMUSG00000002550	
AIRN	1	ENSMUSG00000078247	
CDIN1	1	ENSMUSG00000040282	
EFCC1	1	ENSMUSG00000068263	
NOX1	1	ENSMUSG00000031257	
CFAP77	1	ENSMUSG00000079502	
DIS3L	1	ENSMUSG00000032396	
ATF7IP2	1	ENSMUSG00000039200	
C7orf50	1	ENSMUSG00000053553	
PQBP1	1	ENSMUSG00000031157	
UCN3	1	ENSMUSG00000044988	
UCN2	1	ENSMUSG00000049699	
FLVCR1	1	ENSMUSG00000066595	
FLVCR2	1	ENSMUSG00000034258	
NELFB	1	ENSMUSG00000013465	
NELFA	1	ENSMUSG00000029111	
C7orf57	1	ENSMUSG00000040978	
NELFE	1	ENSMUSG00000024369	
NSUN4	1	ENSMUSG00000028706	
NSUN5	1	ENSMUSG00000000916	
NSUN2	1	ENSMUSG00000021595	
NSUN3	1	ENSMUSG00000050312	
NSUN6	1	ENSMUSG00000026707	
NSUN7	1	ENSMUSG00000029206	
DYNLL1	1	ENSMUSG00000009013	
DYNLL2	1	ENSMUSG00000020483	
FAM222B	1	ENSMUSG00000037750	
FAM222A	1	ENSMUSG00000041930	
C7orf31	1	ENSMUSG00000029828	
KARS1	1	ENSMUSG00000031948	
UCP1	1	ENSMUSG00000031710	
RPS27L	1	ENSMUSG00000036781	
PROCA1	1	ENSMUSG00000044122	
STYXL2	1	ENSMUSG00000026564	
